Provinsi;Penduduk Miskin;Pengangguran;Nikah;Cerai Talak;Cerai Gugat;Jumlah Cerai;Rasio_Cerai;Cluster_Pengangguran;Cluster_Miskin
aceh;80453;575;31740;1192;4739;5931;18.686.200.378.071.800;1;0
bali;18443;179;3189;235;806;1041;3.264.346.190.028.220;0;0
banten;79161;668;63441;2617;10839;13456;2.121.025.835.027.820;1;0
bengkulu;28136;311;13113;743;2694;3437;26.210.630.671.852.300;0;0
di yogyakarta;44555;348;18920;980;3683;4663;24.645.877.378.435.500;0;0
dki jakarta;46493;621;40458;2800;9349;12149;3.002.867.170.893.270;1;0
gorontalo;17799;313;8093;354;1665;2019;2.494.748.548.128.010;0;0
jambi;26542;448;21590;906;3576;4482;20.759.610.930.986.500;0;0
jawa barat;384867;675;292969;19874;68968;88842;30.324.710.122.914.000;1;1
jawa tengah;370433;478;233204;13786;50783;64569;27.687.775.509.854.000;1;1
jawa timur;398269;419;271406;18979;58679;77658;28.613.221.520.526.400;0;1
kalimantan barat;33608;486;21064;835;3800;4635;22.004.367.641.473.600;1;0
kalimantan selatan;18331;420;25069;1238;5139;6377;25.437.791.694.922.000;0;0
kalimantan tengah;14563;401;13688;640;2400;3040;22.209.234.365.867.900;0;0
kalimantan timur;22134;514;20940;1518;4698;6216;2.968.481.375.358.160;1;0
kalimantan utara;4783;390;2899;205;726;931;321.145.222.490.514;0;0
kepulauan bangka belitung;6995;463;7973;440;1782;2222;2.786.905.807.098.950;0;0
kepulauan riau;13830;639;11533;750;2676;3426;29.706.060.868.811.200;1;0
lampung;94123;419;50230;2575;11896;14471;2.880.947.640.852.080;0;0
maluku;29768;611;4464;170;453;623;13.956.093.189.964.100;1;0
maluku utara;8309;403;5724;323;937;1260;220.125.786.163.522;0;0
nusa tenggara barat;70901;273;25424;1266;5408;6674;26.250.786.658.275.600;0;0
nusa tenggara timur;112757;302;2775;139;346;485;1.747.747.747.747.740;0;0
papua;10227;648;1473;254;806;1060;7.196.198.234.894.770;2;2
papua barat;11016;413;1038;120;367;487;4.691.714.836.223.500;0;2
papua barat daya;15291;648;1003;0;0;0;0.0;1;0
papua pegunungan;36543;132;58;0;0;0;0.0;0;0
papua selatan;9220;405;929;0;0;0;0.0;0;0
papua tengah;30848;275;825;0;0;0;0.0;0;0
riau;49225;370;38790;1697;6388;8085;20.843.000.773.395.200;0;0
sulawesi barat;16219;268;6402;296;1007;1303;20.353.014.682.911.500;0;0
sulawesi selatan;73648;419;48718;2302;9647;11949;2.452.686.891.908.530;0;0
sulawesi tengah;37976;294;15349;740;3122;3862;25.161.248.289.790.800;0;0
sulawesi tenggara;31970;309;14126;671;2745;3416;24.182.358.771.060.400;0;0
sulawesi utara;18685;585;6025;368;1586;1954;3.243.153.526.970.950;1;0
sumatera barat;34573;575;36486;1706;6446;8152;2.234.281.642.273.740;1;0
sumatera selatan;98424;386;50492;2042;7939;9981;1.976.748.791.887.820;0;0
sumatera utara;122801;560;66682;2891;12861;15752;23.622.566.809.633.700;1;0
